,gene_name,ensembl_gene_id,chromosome,Source,Start,Strand,gene_source,gene_biotype,gene_length,gene_coding_length,Approved symbol,Approved name,Status,Previous symbols,Alias symbols,gene_include,n_cells,pct_cells
GPX4,GPX4,ENSG00000167468,19,ensembl_havana,1103925,+,ensembl_havana,protein_coding,2866,2019,GPX4,glutathione peroxidase 4,Approved,nan,"PHGPx, MCSP",True,14136,6.759561221464572
SBNO2,SBNO2,ENSG00000064932,19,ensembl_havana,1107635,-,ensembl_havana,protein_coding,66648,6626,SBNO2,strawberry notch homolog 2,Approved,KIAA0963,"FLJ00173, Stno, Sno",True,11779,5.632489503935426
STK11,STK11,ENSG00000118046,19,ensembl_havana,1177557,+,ensembl_havana,protein_coding,50878,8639,STK11,serine/threonine kinase 11,Approved,nan,"PJS, LKB1",True,11543,5.519638877996997
CBARP,CBARP,ENSG00000099625,19,ensembl_havana,1228286,-,ensembl_havana,protein_coding,9741,4543,CBARP,CACN subunit beta associated regulatory protein,Approved,C19orf26,"MGC40084, DOS, BARP",True,255,0.1219360576877098
ATP5D,ATP5D,ENSG00000099624,19,ensembl_havana,1241745,+,ensembl_havana,protein_coding,3081,2250,ATP5F1D,ATP synthase F1 subunit delta,Approved,ATP5D,nan,True,12462,5.959086866291136
MIDN,MIDN,ENSG00000167470,19,ensembl_havana,1248552,+,ensembl_havana,protein_coding,10588,4492,MIDN,midnolin,Approved,nan,nan,True,18753,8.967321136539693
CIRBP,CIRBP,ENSG00000099622,19,ensembl_havana,1259383,+,ensembl_havana,protein_coding,15497,6368,CIRBP,cold inducible RNA binding protein,Approved,nan,CIRP,True,52983,25.335443703795796
C19orf24,C19orf24,ENSG00000228300,19,ensembl_havana,1275437,+,ensembl_havana,protein_coding,3812,2193,FAM174C,family with sequence similarity 174 member C,Approved,C19orf24,FLJ20640,True,5333,2.550137237837476
MUM1,MUM1,ENSG00000160953,19,ensembl_havana,1285892,+,ensembl_havana,protein_coding,92539,9906,PWWP3A,"PWWP domain containing 3A, DNA repair factor",Approved,MUM1,"MUM-1, EXPAND1",True,18690,8.937195757581554
NDUFS7,NDUFS7,ENSG00000115286,19,ensembl_havana,1383526,+,ensembl_havana,protein_coding,12063,7533,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,Approved,nan,"PSST, FLJ46880, FLJ45860, CI-20",True,7587,3.627956351673154
GAMT,GAMT,ENSG00000130005,19,ensembl_havana,1397083,-,ensembl_havana,protein_coding,4487,1743,GAMT,guanidinoacetate N-methyltransferase,Approved,nan,"PIG2, TP53I2",True,2670,1.276742251083079
DAZAP1,DAZAP1,ENSG00000071626,19,ensembl_havana,1407568,+,ensembl_havana,protein_coding,28119,9201,DAZAP1,DAZ associated protein 1,Approved,nan,MGC19907,True,15148,7.243480007268345
APC2,APC2,ENSG00000115266,19,ensembl_havana,1446301,+,ensembl_havana,protein_coding,26943,12610,APC2,APC regulator of WNT signaling pathway 2,Approved,nan,APCL,True,1768,0.8454233333014546
C19orf25,C19orf25,ENSG00000119559,19,ensembl_havana,1461142,-,ensembl_havana,protein_coding,18414,5111,C19orf25,chromosome 19 open reading frame 25,Approved,nan,FLJ36666,True,12112,5.791723649857024
PCSK4,PCSK4,ENSG00000115257,19,ensembl_havana,1481427,-,ensembl_havana,protein_coding,9325,3792,PCSK4,proprotein convertase subtilisin/kexin type 4,Approved,nan,"PC4, SPC5, DKFZp434B217, MGC34749",True,1352,0.6465001960540535
REEP6,REEP6,ENSG00000115255,19,ensembl_havana,1490746,+,ensembl_havana,protein_coding,7181,2449,REEP6,receptor accessory protein 6,Approved,C19orf32,"DP1L1, FLJ25383, Yip2f",True,1445,0.6909709935636889
ADAMTSL5,ADAMTSL5,ENSG00000185761,19,ensembl_havana,1505017,-,ensembl_havana,protein_coding,8587,3625,ADAMTSL5,ADAMTS like 5,Approved,THSD6,nan,True,1790,0.8559433069058845
PLK5,PLK5,ENSG00000185988,19,ensembl_havana,1524073,+,ensembl_havana,protein_coding,11383,2353,PLK5,polo like kinase 5 (inactive),Approved,PLK5P,SgK384ps,True,1136,0.5432131824832875
MEX3D,MEX3D,ENSG00000181588,19,ensembl_havana,1554668,-,ensembl_havana,protein_coding,13390,2850,MEX3D,mex-3 RNA binding family member D,Approved,RKHD1,"Tino, KIAA2031, OK/SW-cl.4, RNF193",True,1170,0.5594713235083155
MBD3,MBD3,ENSG00000071655,19,ensembl_havana,1573595,-,ensembl_havana,protein_coding,19206,7845,MBD3,methyl-CpG binding domain protein 3,Approved,nan,nan,True,7663,3.6642980786702752
AC005943.2,AC005943.2,ENSG00000267059,19,havana,1578338,-,havana,protein_coding,27107,1002,nan,nan,nan,nan,nan,True,716,0.3423773227623538
UQCR11,UQCR11,ENSG00000127540,19,ensembl_havana,1597171,-,ensembl_havana,protein_coding,8319,2151,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI",Approved,UQCR,QCR10,True,1158,0.5537331560877174
TCF3,TCF3,ENSG00000071564,19,ensembl_havana,1609289,-,ensembl_havana,protein_coding,43316,6080,TCF3,transcription factor 3,Approved,nan,"E2A, ITF1, MGC129647, MGC129648, bHLHb21, VDIR, E47, p75",True,4994,2.3880340082055795
ONECUT3,ONECUT3,ENSG00000205922,19,ensembl_havana,1752372,+,ensembl_havana,protein_coding,28616,8318,ONECUT3,one cut homeobox 3,Approved,nan,nan,True,329,0.1573214234480648
ATP8B3,ATP8B3,ENSG00000130270,19,ensembl_havana,1782074,-,ensembl_havana,protein_coding,30202,7014,ATP8B3,ATPase phospholipid transporting 8B3,Approved,nan,ATPIK,True,3014,1.4412363838068916
REXO1,REXO1,ENSG00000079313,19,ensembl_havana,1815245,-,ensembl_havana,protein_coding,33218,5199,REXO1,RNA exonuclease 1 homolog,Approved,TCEB3BP1,"EloA-BP1, KIAA1138",True,4862,2.324914166579
KLF16,KLF16,ENSG00000129911,19,ensembl_havana,1852398,-,ensembl_havana,protein_coding,11170,2955,KLF16,Kruppel like factor 16,Approved,nan,"NSLP2, BTEB4, DRRF",True,1482,0.7086636764438664
ABHD17A,ABHD17A,ENSG00000129968,19,ensembl_havana,1876809,-,ensembl_havana,protein_coding,8738,6139,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",Approved,"C19orf27, FAM108A1",MGC5244,True,8298,3.967942771343592
SCAMP4,SCAMP4,ENSG00000227500,19,ensembl_havana,1905213,+,ensembl_havana,protein_coding,20800,6953,SCAMP4,secretory carrier membrane protein 4,Approved,nan,FLJ33847,True,5706,2.7284986084944003
CSNK1G2,CSNK1G2,ENSG00000133275,19,ensembl_havana,1941148,+,ensembl_havana,protein_coding,40190,3804,CSNK1G2,casein kinase 1 gamma 2,Approved,nan,CK1g2,True,7909,3.7819305107925367
BTBD2,BTBD2,ENSG00000133243,19,ensembl_havana,1985437,-,ensembl_havana,protein_coding,49444,5944,BTBD2,BTB domain containing 2,Approved,nan,nan,True,14790,7.072291345887169
MKNK2,MKNK2,ENSG00000099875,19,ensembl_havana,2037464,-,ensembl_havana,protein_coding,13780,5221,MKNK2,MAPK interacting serine/threonine kinase 2,Approved,GPRK7,MNK2,True,17369,8.30551916069738
MOB3A,MOB3A,ENSG00000172081,19,ensembl_havana,2071037,-,ensembl_havana,protein_coding,25636,4149,MOB3A,MOB kinase activator 3A,Approved,MOBKL2A,"MOB1C, MOB-LAK, moblak",True,11157,5.335061159301091
IZUMO4,IZUMO4,ENSG00000099840,19,ensembl_havana,2096428,+,ensembl_havana,protein_coding,3165,2770,IZUMO4,IZUMO family member 4,Approved,C19orf36,nan,True,2672,1.2776986123198455
AP3D1,AP3D1,ENSG00000065000,19,ensembl_havana,2100987,-,ensembl_havana,protein_coding,63478,8601,AP3D1,adaptor related protein complex 3 subunit delta 1,Approved,nan,ADTD,True,16013,7.657106242169792
DOT1L,DOT1L,ENSG00000104885,19,ensembl_havana,2164148,+,ensembl_havana,protein_coding,68430,11272,DOT1L,DOT1 like histone lysine methyltransferase,Approved,nan,"KIAA1814, DOT1, KMT4",True,8585,4.1051806088195635
PLEKHJ1,PLEKHJ1,ENSG00000104886,19,ensembl_havana,2230083,-,ensembl_havana,protein_coding,7621,4655,PLEKHJ1,pleckstrin homology domain containing J1,Approved,nan,FLJ10297,True,9076,4.339967292445703
SF3A2,SF3A2,ENSG00000104897,19,ensembl_havana,2236503,+,ensembl_havana,protein_coding,12176,3134,SF3A2,splicing factor 3a subunit 2,Approved,nan,"SF3a66, SAP62, PRPF11, Prp11",True,7096,3.393169668047015
AMH,AMH,ENSG00000104899,19,ensembl_havana,2249308,+,ensembl_havana,protein_coding,2765,2587,AMH,anti-Mullerian hormone,Approved,nan,MIS,True,332,0.15875596530321434
JSRP1,JSRP1,ENSG00000167476,19,ensembl_havana,2252251,-,ensembl_havana,protein_coding,17508,1950,JSRP1,junctional sarcoplasmic reticulum protein 1,Approved,nan,"JP-45, FLJ32416",True,1611,0.7703489762152961
OAZ1,OAZ1,ENSG00000104904,19,ensembl_havana,2269508,+,ensembl_havana,protein_coding,3982,3436,OAZ1,ornithine decarboxylase antizyme 1,Approved,OAZ,"AZI, MGC138338, AZ1",True,56,0.02677811462945784
LLfos-48D6.2,LLfos-48D6.2,ENSG00000273734,19,havana,2269524,+,havana,protein_coding,71648,1268,nan,nan,nan,nan,nan,True,4644,2.220670791771468
C19orf35,C19orf35,ENSG00000188305,19,ensembl_havana,2274621,-,ensembl_havana,protein_coding,7555,2574,PEAK3,PEAK family member 3,Approved,C19orf35,FLJ45778,True,952,0.45522794870078326
LINGO3,LINGO3,ENSG00000220008,19,ensembl_havana,2289783,-,ensembl_havana,protein_coding,2241,2241,LINGO3,leucine rich repeat and Ig domain containing 3,Approved,LRRN6B,LERN2,True,20,0.009563612367663513
LSM7,LSM7,ENSG00000130332,19,ensembl_havana,2321516,-,ensembl_havana,protein_coding,7104,1698,LSM7,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated",Approved,nan,YNL147W,True,7468,3.5710528580855563
SPPL2B,SPPL2B,ENSG00000005206,19,ensembl_havana,2328614,+,ensembl_havana,protein_coding,26192,7130,SPPL2B,signal peptide peptidase like 2B,Approved,nan,"IMP4, PSL1, KIAA1532",True,9907,4.737335386322122
TMPRSS9,TMPRSS9,ENSG00000178297,19,ensembl_havana,2389770,+,ensembl_havana,protein_coding,36469,4195,TMPRSS9,transmembrane serine protease 9,Approved,nan,nan,True,5621,2.6878532559318304
TIMM13,TIMM13,ENSG00000099800,19,ensembl_havana,2425623,-,ensembl_havana,protein_coding,2271,1973,TIMM13,translocase of inner mitochondrial membrane 13,Approved,TIMM13B,Tim13,True,7529,3.60022187580693
LMNB2,LMNB2,ENSG00000176619,19,ensembl_havana,2427637,-,ensembl_havana,protein_coding,29359,5432,LMNB2,lamin B2,Approved,LMN2,nan,True,1979,0.9463194437803047
GADD45B,GADD45B,ENSG00000099860,19,ensembl_havana,2476121,+,ensembl_havana,protein_coding,2138,2138,GADD45B,growth arrest and DNA damage inducible beta,Approved,MYD118,"GADD45BETA, DKFZP566B133",True,19001,9.08590992989872
GNG7,GNG7,ENSG00000176533,19,ensembl_havana,2511218,-,ensembl_havana,protein_coding,191491,4561,GNG7,G protein subunit gamma 7,Approved,nan,FLJ00058,True,18247,8.725361743637807
DIRAS1,DIRAS1,ENSG00000176490,19,ensembl_havana,2714566,-,ensembl_havana,protein_coding,6852,3485,DIRAS1,DIRAS family GTPase 1,Approved,nan,"Di-Ras1, GBTS1, RIG",True,1312,0.6273729713187265
AC006538.4,AC006538.4,ENSG00000267001,19,havana,2717768,-,havana,protein_coding,22280,543,nan,nan,nan,nan,nan,True,189,0.09037613687442021
SGTA,SGTA,ENSG00000104969,19,ensembl_havana,2754713,-,ensembl_havana,protein_coding,28658,3801,SGTA,small glutamine rich tetratricopeptide repeat containing alpha,Approved,SGT,nan,True,6646,3.1779883897745855
THOP1,THOP1,ENSG00000172009,19,ensembl_havana,2785459,+,ensembl_havana,protein_coding,30348,7464,THOP1,thimet oligopeptidase 1,Approved,nan,nan,True,4943,2.3636467966680375
ZNF554,ZNF554,ENSG00000172006,19,ensembl_havana,2819873,+,ensembl_havana,protein_coding,15900,4685,ZNF554,zinc finger protein 554,Approved,nan,FLJ34817,True,2500,1.1954515459579393
ZNF555,ZNF555,ENSG00000186300,19,ensembl_havana,2841434,+,ensembl_havana,protein_coding,19050,8557,ZNF555,zinc finger protein 555,Approved,nan,MGC26707,True,2359,1.1280280787659114
ZNF556,ZNF556,ENSG00000172000,19,ensembl_havana,2867334,+,ensembl_havana,protein_coding,16111,6574,ZNF556,zinc finger protein 556,Approved,nan,FLJ11637,True,1601,0.7655671700314642
ZNF57,ZNF57,ENSG00000171970,19,ensembl_havana,2900897,+,ensembl_havana,protein_coding,17579,2327,ZNF57,zinc finger protein 57,Approved,ZNF424,nan,True,1224,0.5852930769010071
ZNF77,ZNF77,ENSG00000175691,19,ensembl_havana,2933217,-,ensembl_havana,protein_coding,11754,2437,ZNF77,zinc finger protein 77,Approved,nan,pT1,True,2115,1.0113520078804166
TLE6,TLE6,ENSG00000104953,19,ensembl_havana,2977445,+,ensembl_havana,protein_coding,17739,3652,TLE6,"TLE family member 6, subcortical maternal complex member",Approved,nan,"FLJ14009, GRG6",True,1967,0.9405812763597066
TLE2,TLE2,ENSG00000065717,19,ensembl_havana,2997637,-,ensembl_havana,protein_coding,49998,4038,TLE2,"TLE family member 2, transcriptional corepressor",Approved,nan,"ESG2, GRG2, ESG, FLJ41188",True,11865,5.67361303711638
AES,AES,ENSG00000104964,19,ensembl_havana,3052909,-,ensembl_havana,protein_coding,10198,5298,TLE5,"TLE family member 5, transcriptional modulator",Approved,AES,GRG5,True,20212,9.664986658760746
GNA11,GNA11,ENSG00000088256,19,ensembl_havana,3094409,+,ensembl_havana,protein_coding,29595,6242,GNA11,G protein subunit alpha 11,Approved,HHC2,"FBH, FBH2, FHH2",True,8762,4.189818578273385
GNA15,GNA15,ENSG00000060558,19,ensembl_havana,3136192,+,ensembl_havana,protein_coding,27577,2613,GNA15,G protein subunit alpha 15,Approved,nan,GNA16,True,5001,2.391381272534262
S1PR4,S1PR4,ENSG00000125910,19,havana,3172345,+,havana,protein_coding,7987,1664,S1PR4,sphingosine-1-phosphate receptor 4,Approved,EDG6,nan,True,896,0.4284498340713254
NCLN,NCLN,ENSG00000125912,19,ensembl_havana,3185562,+,ensembl_havana,protein_coding,24013,4175,NCLN,nicalin,Approved,nan,"NICALIN, NET59",True,7169,3.4280768531889865
CELF5,CELF5,ENSG00000161082,19,ensembl_havana,3224702,+,ensembl_havana,protein_coding,72374,6024,CELF5,CUGBP Elav-like family member 5,Approved,BRUNOL5,nan,True,4990,2.3861212857320466
NFIC,NFIC,ENSG00000141905,19,ensembl_havana,3359562,+,ensembl_havana,protein_coding,109655,9347,NFIC,nuclear factor I C,Approved,NFI,"CTF, NF-I, CTF5",True,53567,25.614701184931572
SMIM24,SMIM24,ENSG00000095932,19,ensembl_havana,3473985,-,ensembl_havana,protein_coding,6557,1498,SMIM24,small integral membrane protein 24,Approved,C19orf77,HSPC323,True,33,0.015779960406644797
DOHH,DOHH,ENSG00000129932,19,ensembl_havana,3490820,-,ensembl_havana,protein_coding,10120,2387,DOHH,deoxyhypusine hydroxylase,Approved,HLRC1,MGC4293,True,2212,1.0577355278635847
FZR1,FZR1,ENSG00000105325,19,ensembl_havana,3506272,+,ensembl_havana,protein_coding,32058,5802,FZR1,fizzy and cell division cycle 20 related 1,Approved,nan,"HCDH1, CDH1, HCDH, FZR, FZR2, KIAA1242, CDC20C",True,5861,2.802616604343793
MFSD12,MFSD12,ENSG00000161091,19,ensembl_havana,3538260,-,ensembl_havana,protein_coding,36030,5277,MFSD12,major facilitator superfamily domain containing 12,Approved,C19orf28,"MGC20700, PP3501",True,8704,4.162084102407161
C19orf71,C19orf71,ENSG00000183397,19,ensembl_havana,3539153,+,ensembl_havana,protein_coding,4877,674,C19orf71,chromosome 19 open reading frame 71,Approved,nan,LOC100128569,True,949,0.45379340684563374
HMG20B,HMG20B,ENSG00000064961,19,ensembl_havana,3572776,+,ensembl_havana,protein_coding,6312,3857,HMG20B,high mobility group 20B,Approved,nan,"SOXL, HMGX2, BRAF35, SMARCE1r, BRAF25, HMGXB2",True,9123,4.362441781509712
GIPC3,GIPC3,ENSG00000179855,19,ensembl_havana,3585552,+,ensembl_havana,protein_coding,7989,4335,GIPC3,GIPC PDZ domain containing family member 3,Approved,"C19orf64, DFNB72, DFNB15",DFNB95,True,561,0.26825932691296156
TBXA2R,TBXA2R,ENSG00000006638,19,ensembl_havana,3594505,-,ensembl_havana,protein_coding,12335,2793,TBXA2R,thromboxane A2 receptor,Approved,nan,nan,True,1378,0.6589328921320161
CACTIN,CACTIN,ENSG00000105298,19,ensembl_havana,3610640,-,ensembl_havana,protein_coding,16175,5952,CACTIN,"cactin, spliceosome C complex subunit",Approved,C19orf29,"NY-REN-24, fSAPc",True,1939,0.9271922190449776
PIP5K1C,PIP5K1C,ENSG00000186111,19,ensembl_havana,3630182,-,ensembl_havana,protein_coding,70297,6694,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma,Approved,nan,"PIP5Kgamma, KIAA0589, LCCS3",True,8640,4.131480542830638
TJP3,TJP3,ENSG00000105289,19,ensembl_havana,3708108,+,ensembl_havana,protein_coding,42705,4217,TJP3,tight junction protein 3,Approved,nan,ZO-3,True,6738,3.2219810066658376
APBA3,APBA3,ENSG00000011132,19,ensembl_havana,3750818,-,ensembl_havana,protein_coding,10881,5556,APBA3,amyloid beta precursor protein binding family A member 3,Approved,nan,"X11L2, mint3",True,2606,1.2461386915065558
MATK,MATK,ENSG00000007264,19,ensembl_havana,3777969,-,ensembl_havana,protein_coding,24160,4141,MATK,megakaryocyte-associated tyrosine kinase,Approved,nan,"HYLTK, CTK, HYL, Lsk, CHK, HHYLTK, DKFZp434N1212, MGC1708, MGC2101",True,1918,0.9171504260589309
ZFR2,ZFR2,ENSG00000105278,19,ensembl_havana,3804023,-,ensembl_havana,protein_coding,65009,5944,ZFR2,zinc finger RNA binding protein 2,Approved,KIAA1086,nan,True,2595,1.240878704704341
ATCAY,ATCAY,ENSG00000167654,19,ensembl_havana,3879863,+,ensembl_havana,protein_coding,48216,5403,ATCAY,ATCAY kinesin light chain interacting caytaxin,Approved,nan,BNIP-H,True,5337,2.5520499603110087
NMRK2,NMRK2,ENSG00000077009,19,ensembl_havana,3933102,+,ensembl_havana,protein_coding,9314,1141,NMRK2,nicotinamide riboside kinase 2,Approved,ITGB1BP3,"MIBP, NRK2",True,5990,2.8643019041152225
DAPK3,DAPK3,ENSG00000167657,19,ensembl_havana,3958452,-,ensembl_havana,protein_coding,12671,3549,DAPK3,death associated protein kinase 3,Approved,nan,"ZIP, ZIPK",True,12507,5.980604994118378
EEF2,EEF2,ENSG00000167658,19,ensembl_havana,3976055,-,ensembl_havana,protein_coding,9414,4027,EEF2,eukaryotic translation elongation factor 2,Approved,EF2,EEF-2,True,27593,13.194437803046966
PIAS4,PIAS4,ENSG00000105229,19,ensembl_havana,4007645,+,ensembl_havana,protein_coding,31741,3646,PIAS4,protein inhibitor of activated STAT 4,Approved,nan,"Piasg, PIASY, FLJ12419, ZMIZ6",True,5149,2.4621520040549716
ZBTB7A,ZBTB7A,ENSG00000178951,19,ensembl_havana,4044363,-,ensembl_havana,protein_coding,22582,5725,ZBTB7A,zinc finger and BTB domain containing 7A,Approved,ZBTB7,"FBI-1, LRF, DKFZp547O146, pokemon, ZNF857A",True,15240,7.287472624159598
MAP2K2,MAP2K2,ENSG00000126934,19,ensembl_havana,4090320,-,ensembl_havana,protein_coding,33809,5236,MAP2K2,mitogen-activated protein kinase kinase 2,Approved,PRKMK2,MEK2,True,13001,6.2168262195996675
CREB3L3,CREB3L3,ENSG00000060566,19,ensembl_havana,4153600,+,ensembl_havana,protein_coding,19454,2678,CREB3L3,cAMP responsive element binding protein 3 like 3,Approved,nan,"CREB-H, CREBH",True,1380,0.6598892533687825
SIRT6,SIRT6,ENSG00000077463,19,ensembl_havana,4174108,-,ensembl_havana,protein_coding,8496,2787,SIRT6,sirtuin 6,Approved,nan,nan,True,7759,3.7102034180350603
ANKRD24,ANKRD24,ENSG00000089847,19,ensembl_havana,4183353,+,ensembl_havana,protein_coding,41461,4474,ANKRD24,ankyrin repeat domain 24,Approved,nan,KIAA1981,True,2175,1.0400428449834072
EBI3,EBI3,ENSG00000105246,19,ensembl_havana,4229497,+,ensembl_havana,protein_coding,8034,1284,EBI3,Epstein-Barr virus induced 3,Approved,nan,"IL27B, IL35B",True,877,0.4193644023220451
CCDC94,CCDC94,ENSG00000105248,19,ensembl_havana,4247078,+,ensembl_havana,protein_coding,22012,1671,YJU2,YJU2 splicing factor homolog,Approved,CCDC94,FLJ10374,True,5796,2.771534864148886
SHD,SHD,ENSG00000105251,19,ensembl_havana,4278600,+,ensembl_havana,protein_coding,12124,2811,SHD,Src homology 2 domain containing transforming protein D,Approved,nan,nan,True,551,0.26347752072912983
TMIGD2,TMIGD2,ENSG00000167664,19,ensembl_havana,4292231,-,ensembl_havana,protein_coding,10200,1262,TMIGD2,transmembrane and immunoglobulin domain containing 2,Approved,nan,"MGC23244, CD28H, IGPR-1",True,599,0.28643019041152223
FSD1,FSD1,ENSG00000105255,19,ensembl_havana,4304599,+,ensembl_havana,protein_coding,19244,3111,FSD1,fibronectin type III and SPRY domain containing 1,Approved,nan,"MGC3213, MIR1",True,979,0.468138825397129
STAP2,STAP2,ENSG00000178078,19,ensembl_havana,4324042,-,ensembl_havana,protein_coding,18744,2766,STAP2,signal transducing adaptor family member 2,Approved,nan,"STAP-2, BKS",True,5710,2.730411330967933
MPND,MPND,ENSG00000008382,19,ensembl_havana,4343526,+,ensembl_havana,protein_coding,16560,2049,MPND,MPN domain containing,Approved,nan,FLJ14981,True,1988,0.9506230693457532
SH3GL1,SH3GL1,ENSG00000141985,19,ensembl_havana,4360369,-,ensembl_havana,protein_coding,40178,3685,SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2",Approved,nan,"SH3P8, SH3D2B, CNSA1, EEN, MGC111371",True,15849,7.578684620754951
CHAF1A,CHAF1A,ENSG00000167670,19,ensembl_havana,4402661,+,ensembl_havana,protein_coding,42357,4299,CHAF1A,chromatin assembly factor 1 subunit A,Approved,nan,"CAF1P150, CAF1B, CAF-1, CAF1, P150, MGC71229",True,3607,1.7247974905081147
UBXN6,UBXN6,ENSG00000167671,19,ensembl_havana,4444998,-,ensembl_havana,protein_coding,12824,5275,UBXN6,UBX domain protein 6,Approved,UBXD1,UBXDC2,True,7097,3.393647848665398
CTB-50L17.10,CTB-50L17.10,ENSG00000167674,19,ensembl_havana,4472286,+,ensembl_havana,protein_coding,29925,4299,HDGFL2,HDGF like 2,Approved,nan,"HRP2, Hdgfrp2",True,5885,2.814092939184989
PLIN4,PLIN4,ENSG00000167676,19,ensembl_havana,4502179,-,ensembl_havana,protein_coding,16286,6502,PLIN4,perilipin 4,Approved,KIAA1881,S3-12,True,5392,2.5783498943220833
PLIN5,PLIN5,ENSG00000214456,19,ensembl_havana,4522530,-,ensembl_havana,protein_coding,12694,4815,PLIN5,perilipin 5,Approved,nan,"LSDP5, LSDA5, OXPAT, MLDP",True,15108,7.2243527825330185
CTB-50L17.14,CTB-50L17.14,ENSG00000267385,19,havana,4528426,-,havana,protein_coding,11641,1803,nan,nan,nan,nan,nan,True,124,0.059294396679513785
SEMA6B,SEMA6B,ENSG00000167680,19,ensembl_havana,4542592,-,ensembl_havana,protein_coding,17216,4412,SEMA6B,semaphorin 6B,Approved,SEMAN,"semaZ, SEMA-VIB, SEM-SEMA-Y",True,3272,1.564606983349751
TNFAIP8L1,TNFAIP8L1,ENSG00000185361,19,ensembl_havana,4639517,+,ensembl_havana,protein_coding,16051,6667,TNFAIP8L1,TNF alpha induced protein 8 like 1,Approved,nan,MGC17791,True,4933,2.358864990484206
MYDGF,MYDGF,ENSG00000074842,19,ensembl_havana,4641373,-,ensembl_havana,protein_coding,28997,1678,MYDGF,myeloid derived growth factor,Approved,"IL27, IL27w, C19orf10","R33729_1, IL25, SF20, IL-25, IL-27",True,12826,6.133144611382612
DPP9,DPP9,ENSG00000142002,19,ensembl_havana,4675223,-,ensembl_havana,protein_coding,49450,8324,DPP9,dipeptidyl peptidase 9,Approved,nan,nan,True,14795,7.074682248979085
FEM1A,FEM1A,ENSG00000141965,19,ensembl_havana,4791680,+,ensembl_havana,protein_coding,9593,9593,FEM1A,fem-1 homolog A,Approved,nan,nan,True,4394,2.101125637175674
TICAM1,TICAM1,ENSG00000127666,19,ensembl_havana,4815931,-,ensembl_havana,protein_coding,15773,2676,TICAM1,toll like receptor adaptor molecule 1,Approved,nan,"TRIF, TICAM-1, MGC35334, PRVTIRB",True,4136,1.9777550376328146
PLIN3,PLIN3,ENSG00000105355,19,ensembl_havana,4838340,-,ensembl_havana,protein_coding,29428,2813,PLIN3,perilipin 3,Approved,M6PRBP1,"TIP47, PP17",True,10011,4.787066170633972
ARRDC5,ARRDC5,ENSG00000205784,19,ensembl_havana,4890436,-,ensembl_havana,protein_coding,12431,1638,ARRDC5,arrestin domain containing 5,Approved,nan,nan,True,1010,0.48296242456700744
UHRF1,UHRF1,ENSG00000276043,19,ensembl_havana,4903079,+,ensembl_havana,protein_coding,59075,5145,UHRF1,ubiquitin like with PHD and ring finger domains 1,Approved,nan,"ICBP90, Np95, FLJ21925, RNF106, TDRD22",True,2229,1.0658645983760986
KDM4B,KDM4B,ENSG00000127663,19,ensembl_havana,4969112,+,ensembl_havana,protein_coding,184483,14716,KDM4B,lysine demethylase 4B,Approved,JMJD2B,"KIAA0876, TDRD14B",True,31862,15.235790862924745
PTPRS,PTPRS,ENSG00000105426,19,ensembl_havana,5158494,-,ensembl_havana,protein_coding,182309,9425,PTPRS,protein tyrosine phosphatase receptor type S,Approved,nan,nan,True,33962,16.239970161529413
SAFB2,SAFB2,ENSG00000130254,19,ensembl_havana,5586998,-,ensembl_havana,protein_coding,37048,6222,SAFB2,scaffold attachment factor B2,Approved,nan,KIAA0138,True,13894,6.643841511815843
SAFB,SAFB,ENSG00000160633,19,ensembl_havana,5623034,+,ensembl_havana,protein_coding,45444,7036,SAFB,scaffold attachment factor B,Approved,nan,"HET, SAFB1",True,17566,8.399720742518864
C19orf70,C19orf70,ENSG00000174917,19,ensembl_havana,5678420,-,ensembl_havana,protein_coding,2476,1854,MICOS13,mitochondrial contact site and cristae organizing system subunit 13,Approved,C19orf70,"QIL1, P117, MIC13",True,8236,3.938295573003835
LONP1,LONP1,ENSG00000196365,19,ensembl_havana,5691833,-,ensembl_havana,protein_coding,28739,5085,LONP1,"lon peptidase 1, mitochondrial",Approved,PRSS15,"LonHS, hLON, PIM1",True,10100,4.829624245670074
CATSPERD,CATSPERD,ENSG00000174898,19,ensembl_havana,5720676,+,ensembl_havana,protein_coding,58058,2741,CATSPERD,cation channel sperm associated auxiliary subunit delta,Approved,TMEM146,MGC39581,True,4925,2.3550395455371405
PRR22,PRR22,ENSG00000212123,19,ensembl_havana,5782959,-,ensembl_havana,protein_coding,1806,1806,PRR22,proline rich 22,Approved,nan,MGC24975,True,1210,0.5785985482436425
DUS3L,DUS3L,ENSG00000141994,19,ensembl_havana,5784831,-,ensembl_havana,protein_coding,6407,3642,DUS3L,dihydrouridine synthase 3 like,Approved,nan,"DUS3, FLJ13896",True,2787,1.3326893834339106
NRTN,NRTN,ENSG00000171119,19,ensembl_havana,5823801,+,ensembl_havana,protein_coding,4523,1109,NRTN,neurturin,Approved,nan,NTN,True,1959,0.9367558314126412
